date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2011/8/16,2920.829,2932.14,2888.334,2897.581,2917.883,5096268100,57496628333,3,0.003277,1,-0.695778,1
2011/8/17,2893.849,2910.835,2881.631,2886.013,2897.581,3917817900,41891853603,3,0.002519,1,-0.399234,1
2011/8/18,2887.103,2889.997,2832.269,2834.254,2886.013,4076888300,45784423192,3,0.00259,1,-1.793444,1
2011/8/19,2789.346,2814.099,2782.556,2807.664,2834.254,4325965000,48442961960,3,0.002749,1,-0.93816,1
2011/8/22,2809.329,2829.687,2768.418,2777.787,2807.664,3420968500,40136538647,3,0.002174,1,-1.064121,1
2011/8/23,2788.699,2821.003,2777.287,2821.003,2777.787,3262051400,36441994495,3,0.002074,1,1.555764,1
2011/8/24,2834.577,2845.47,2804.818,2810.016,2821.003,3530156500,41939777958,3,0.002244,1,-0.389465,1
2011/8/25,2818.701,2904.438,2815.912,2903.837,2810.016,7221684500,75745960111,3,0.004591,1,3.338799,1
2011/8/26,2889.382,2907.398,2876.828,2901.216,2903.837,4560410200,51759427726,3,0.002899,1,-0.090255,1
2011/8/29,2875.784,2875.784,2847.476,2852.809,2901.216,4426785000,49892653226,3,0.002814,1,-1.668507,1
2011/8/30,2875.144,2901.733,2838.33,2841.74,2852.809,4313787200,48565790320,3,0.002741,1,-0.388007,1
2011/8/31,2843.993,2855.305,2823.77,2846.776,2841.74,3210789900,37624544060,3,0.002039,1,0.177211,0
2011/9/1,2852.386,2869.249,2825.956,2834.535,2846.776,3011870200,35143727252,3,0.001913,1,-0.429994,1
2011/9/2,2828.839,2836.624,2790.769,2803.854,2834.535,2931711600,31960598827,3,0.001862,1,-1.082397,1
2011/9/5,2780.834,2780.834,2743.383,2743.817,2803.854,3200566000,36040312618,3,0.002033,1,-2.141235,1
2011/9/6,2727.749,2745.36,2711.071,2723.303,2743.817,2971398200,33746805052,3,0.001887,1,-0.747642,1
2011/9/7,2738.789,2779.205,2730.055,2779.09,2723.303,3326538100,37096662193,3,0.002113,1,2.048509,1
2011/9/8,2788.832,2789.112,2755.799,2756.105,2779.09,2683873500,31209441131,3,0.001704,1,-0.827073,1
2011/9/9,2770.153,2796.352,2739.62,2751.095,2756.105,2707350300,30348131114,3,0.001719,1,-0.181779,1
2011/9/13,2712.443,2726.185,2698.66,2720.283,2751.095,2671376400,30034340041,3,0.001696,1,-1.119991,1
2011/9/14,2729.256,2736.905,2677.127,2733.108,2720.283,3042478000,32858416579,3,0.001932,1,0.471457,1
